stock_name,stock_code,is_shariah,category
AAX,5238,True,"Travel, Leisure & Hospitality"
SCGM,7247,False,Packaging Materials
ICON,5255,True,"Energy, Infrastructure, Equipment & Services"
CARLSBG,2836,False,Food & Beverages
EPICON,4847,True,"Travel, Leisure & Hospitality"
HEIM,3255,False,Food & Beverages
NESTLE,4707,True,Food & Beverages
EATECH,5259,True,Transportation & Logistics Services
UCHITEC,7100,True,"Industrial Materials, Components & Equipment"
TIMECOM,5031,True,Telecommunications Service Providers
M&G,5078,True,Transportation & Logistics Services
SKHAWK,03049,True,"Energy, Infrastructure, Equipment & Services"
POLYDM,03031,True,"Industrial Materials, Components & Equipment"
BAT,4162,False,Personal Goods
TOMYPAK,7285,False,Packaging Materials
RPLANET,03036,False,Digital Services
BAUTO,5248,True,Automotive
CRG,03016,True,Personal Goods
AHEALTH,7090,True,Pharmaceuticals
SEM,5250,False,Retailers
ENEST,03025,True,Consumer Services
IDBTECH,03030,False,Software
SLIC,03008,False,Digital Services
GOCEAN,0074,True,Food & Beverages
OMESTI,9008,True,Digital Services
WELLCAL,7231,True,"Industrial Materials, Components & Equipment"
MHCARE,03005,True,Health Care Providers
COMCORP,7195,True,"Industrial Materials, Components & Equipment"
AXIATA,6888,True,Telecommunications Service Providers
MMIS,03027,True,"Industrial Materials, Components & Equipment"
TOPVISN,03013,True,Health Care Providers
AMWAY,6351,True,Retailers
HIBISCS,5199,True,Oil & Gas Producers
INFOM,0265,True,Technology Equipment
SEERS,03009,True,Houshold Goods
MRDIY,5296,True,Retailers
BURSA,1818,True,Other Financials
1TECH,03041,False,Software
GASMSIA,5209,True,"Gas, Water & Multi-Utilities"
HUPSENG,5024,True,Food & Beverages
JISHAN,03040,True,Packaging Materials
KGB,0151,True,Industrial Engineering
SCICOM,0099,False,Industrial Services
INFOTEC,0253,False,Digital Services
NPS,03006,True,Pharmaceuticals
SAPRES,4596,True,Property
ELSOFT,0090,True,Technology Equipment
FOCUSP,0157,True,Personal Goods
HUMEIND,5000,False,Building Materials
WPRTS,5246,True,Transportation & Logistics Services
DYNAFNT,03046,False,Software
ECA,0267,True,Technology Equipment
TEOSENG,7252,False,Agricultural Products
SUNMOW,03050,True,Construction
LSH,03047,True,Construction
UTDPLT,2089,True,Plantation
RGB,0037,False,"Travel, Leisure & Hospitality"
TPC,7176,True,Agricultural Products
CIHLDG,2828,True,Food & Beverages
MBL,5152,False,"Industrial Materials, Components & Equipment"
OPTIMAX,0222,True,Health Care Providers
SDS,0212,True,Food & Beverages
DSONIC,5216,True,Digital Services
ICTZONE,03038,True,Technology Equipment
AURORA,03037,True,Personal Goods
ASTRA,03032,False,Food & Beverages
REXIT,0106,False,Software
PADINI,7052,True,Retailers
DCHCARE,0283,False,Health Care Providers
KOTRA,0002,True,Pharmaceuticals
GREATEC,0208,True,Technology Equipment
BABA,03012,True,Houshold Goods
PTRB,0260,True,Food & Beverages
FSBM,9377,True,Technology Equipment
COASTAL,5071,False,"Energy, Infrastructure, Equipment & Services"
TAKAFUL,6139,True,Insurance
SFPTECH,0251,True,Semiconductors
SNS,0259,True,Technology Equipment
REDTONE,0032,True,Telecommunications Service Providers
VLB,0273,True,Construction
CETECH,03024,True,Industrial Services
L&PBHD,0268,True,Industrial Services
TECGUAN,7439,True,Agricultural Products
MAXIS,6012,True,Telecommunications Service Providers
SUPREME,03018,True,Consumer Services
SPTOTO,1562,False,"Travel, Leisure & Hospitality"
FBBHD,03026,True,Industrial Services
MYEG,0138,True,Digital Services
ADB,0276,False,Software
FRONTKN,0128,True,Semiconductors
MFGROUP,03015,False,Consumer Services
PECCA,5271,True,Auto Parts
TM,4863,True,Telecommunications Service Providers
SUNCON,5263,True,Construction
FPI,9172,True,Houshold Goods
ITMAX,5309,True,Digital Services
SYNERGY,0279,True,Houshold Goods
PRKCORP,8346,True,Transportation & Logistics Services
LEESK,8079,True,Houshold Goods
PMETAL,8869,True,Metals
RCECAP,9296,True,Other Financials
CAB,7174,True,Agricultural Products
KMLOONG,5027,True,Plantation
MNHLDG,0245,True,Construction
HARBOUR,2062,True,Transportation & Logistics Services
GAMUDA,5398,True,Construction
UTAMA,03043,True,Building Materials
DXN,5318,True,Retailers
TAS,5149,True,Transportation Equipment
SSB8,0045,True,Construction
NATGATE,0270,True,"Industrial Materials, Components & Equipment"
ECM,2143,False,Other Financials
UMC,0256,True,Health Care Equipment & Services
MPSOL,03019,True,Consumer Services
VITROX,0097,True,Semiconductors
CCK,7035,True,Food & Beverages
F&N,3689,True,Food & Beverages
SJC,9431,True,Media
HARISON,5008,False,Food & Beverages
MASTER,7029,True,Packaging Materials
HEXIND,0161,True,"Industrial Materials, Components & Equipment"
BJFOOD,5196,True,"Travel, Leisure & Hospitality"
PETDAG,5681,True,Retailers
AGMO,0258,True,Software
AJIYA,7609,True,Building Materials
GREENYB,0136,True,Agricultural Products
GPHAROS,5649,True,Wood & Wood Products
KAB,0193,True,Industrial Engineering
INNO,6262,True,Plantation
PMCORP,4081,False,"Travel, Leisure & Hospitality"
YTLPOWR,6742,False,"Gas, Water & Multi-Utilities"
SEG,9792,True,Consumer Services
CLOUDPT,0277,True,Digital Services
BVLH,03042,True,Construction
GENETEC,0104,True,Technology Equipment
PWROOT,7237,True,Food & Beverages
LPI,8621,False,Insurance
RTSTECH,03039,True,Software
UMW,4588,True,Automotive
EFRAME,0227,True,Building Materials
SKYWLD,5315,True,Property
LAGENDA,7179,True,Property
SKPRES,7155,True,"Industrial Materials, Components & Equipment"
YINSON,7293,False,"Energy, Infrastructure, Equipment & Services"
SYGROUP,5173,True,Transportation & Logistics Services
ANCOMNY,4758,True,Chemicals
OPENSYS,0040,False,Software
CTOS,5301,True,Digital Services
SGBHD,03033,True,Industrial Services
ALCOM,2674,True,Metals
IGBREIT,5227,False,Real Estate Investment Trusts
MBMR,5983,True,Automotive
APOLLO,6432,True,Food & Beverages
AMEDIA,0159,True,Media
LHI,6633,False,Agricultural Products
RANHILL,5272,True,"Gas, Water & Multi-Utilities"
GFM,0039,True,Industrial Services
QL,7084,True,Agricultural Products
OPPSTAR,0275,True,Semiconductors
VSTECS,5162,True,Technology Equipment
MSC,5916,True,Metals
ATECH,5302,True,"Industrial Materials, Components & Equipment"
ALLIANZ,1163,False,Insurance
HEXTAR,5151,True,Chemicals
HLIND,3301,True,Automotive
PENTA,7160,True,Technology Equipment
PETGAS,6033,True,"Gas, Water & Multi-Utilities"
KEINHIN,7199,True,Metals
LIIHEN,7089,True,Houshold Goods
UWC,5292,True,Semiconductors
PANTECH,5125,True,Metals
MCEHLDG,7004,True,Auto Parts
LGMS,0249,True,Digital Services
SCIENTX,4731,True,Packaging Materials
PIE,7095,True,"Industrial Materials, Components & Equipment"
BONIA,9288,True,Personal Goods
KPPROP,7077,True,Property
SKBSHUT,7115,True,Building Materials
