stock_code,stock_name,stock_full_name,category
03041,1TECH,ONETECH SOLUTIONS HOLDINGS BERHAD,TECHNOLOGY
0012,3A,THREE-A RESOURCES BHD,CONSUMER PRODUCTS & SERVICES
7054,AASIA,ASTRAL ASIA BHD,PLANTATION
5238,AAX,AIRASIA X BERHAD,CONSUMER PRODUCTS & SERVICES
7167,ABLEGLOB,ABLE GLOBAL BERHAD,CONSUMER PRODUCTS & SERVICES
7086,ABLEGRP,ABLEGROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES
2488,ABMB,ALLIANCE BANK MALAYSIA BERHAD,FINANCIAL SERVICES
7131,ACME,ACME HOLDINGS BERHAD,PROPERTY
0218,ACO,ACO GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES
0276,ADB,AUTOCOUNT DOTCOM BERHAD,TECHNOLOGY
5281,ADVCON,ADVANCECON HOLDINGS BERHAD,CONSTRUCTION
7191,ADVENTA,ADVENTA BHD,HEALTH CARE
7146,AEM,AE MULTI HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES
0181,AEMULUS,AEMULUS HOLDINGS BERHAD,TECHNOLOGY
6599,AEON,AEON CO. (M) BHD,CONSUMER PRODUCTS & SERVICES
5139,AEONCR,AEON CREDIT SERVICE (M) BHD,FINANCIAL SERVICES
5185,AFFIN,AFFIN BANK BERHAD,FINANCIAL SERVICES
5198,AFUJIYA,ABM FUJIYA BERHAD,INDUSTRIAL PRODUCTS & SERVICES
7145,AGES,AGESON BERHAD,CONSTRUCTION
7145OR,AGES-OR,AGESON BERHAD - ORDINARY RIGHTS,CONSTRUCTION
7145PA,AGES-PA,AGESON BERHAD - ICPS 2020/2030,CONSTRUCTION
0258,AGMO,AGMO HOLDINGS BERHAD,TECHNOLOGY
0299,AGX,AGX GROUP BERHAD,TRANSPORTATION & LOGISTICS
7315,AHB,AHB HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES
7090,AHEALTH,APEX HEALTHCARE BHD,HEALTH CARE
0122,AIM,ADVANCE INFORMATION MARKETING,INDUSTRIAL PRODUCTS & SERVICES
0209,AIMFLEX,AIMFLEX BERHAD,TECHNOLOGY
5014,AIRPORT,MALAYSIA AIRPORTS HOLDINGS BHD,TRANSPORTATION & LOGISTICS
2658,AJI,AJINOMOTO (M) BHD,CONSUMER PRODUCTS & SERVICES
7609,AJIYA,AJIYA BHD,INDUSTRIAL PRODUCTS & SERVICES
5115,ALAM,ALAM MARITIM RESOURCES BHD,ENERGY
5116,ALAQAR,AL-AQAR HEALTHCARE REIT,REAL ESTATE INVESTMENT TRUSTS
2674,ALCOM,ALCOM GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES
1163,ALLIANZ,ALLIANZ MALAYSIA BHD,FINANCIAL SERVICES
1163PA,ALLIANZ-PA,ALLIANZ MALAYSIA BHD-ICPS,FINANCIAL SERVICES
0303,ALPHA,ALPHA IVF GROUP BERHAD,HEALTH CARE
0079,ALRICH,ALDRICH RESOURCES BERHAD,TECHNOLOGY
5269,ALSREIT,AL-SALAM REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS
1015,AMBANK,AMMB HOLDINGS BHD,FINANCIAL SERVICES
5293,AME,AME ELITE CONSORTIUM BERHAD,CONSTRUCTION
5307,AMEREIT,AME REAL ESTATE INVESTMENT TRUST,REAL ESTATE INVESTMENT TRUSTS
5120,AMFIRST,AMFIRST REITS,REAL ESTATE INVESTMENT TRUSTS
03011,AMLEX,AMLEX HOLDINGS BERHAD,TECHNOLOGY
1007,AMPROP,AMCORP PROPERTIES BERHAD,PROPERTY
7031,AMTEL,AMTEL HOLDINGS BHD,TELECOMMUNICATIONS & MEDIA
6351,AMWAY,AMWAY (M) HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES
7083,ANALABS,ANALABS RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES
0048,ANCOMLB,ANCOM LOGISTICS BERHAD,TRANSPORTATION & LOGISTICS
4758,ANCOMNY,ANCOM NYLEX BERHAD,INDUSTRIAL PRODUCTS & SERVICES
0226,ANEKA,ANEKA JARINGAN HOLDINGS BERHAD,CONSTRUCTION
6556,ANNJOO,ANN JOO RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES
6556PA,ANNJOO-PA,ANN JOO RESOURCES BERHAD-REDEEMABLE CONVERTIBLE CUMULATIVE PREFERENCE SHARES 2016/2024,INDUSTRIAL PRODUCTS & SERVICES
5082,ANNUM,ANNUM BERHAD,INDUSTRIAL PRODUCTS & SERVICES
