stock_full_name,stock_name,stock_code,is_shariah,category
AIRASIA X BERHAD,AAX,5238,True,"Travel, Leisure & Hospitality"
CARLSBERG BREWERY MALAYSIA BHD,CARLSBG,2836,False,Food & Beverages
EPICON BERHAD,EPICON,4847,True,"Travel, Leisure & Hospitality"
NESTLE (MALAYSIA) BERHAD,NESTLE,4707,True,Food & Beverages
HEINEKEN MALAYSIA BERHAD,HEIM,3255,False,Food & Beverages
7-ELEVEN MALAYSIA HOLDINGS BERHAD,SEM,5250,False,Retailers
UCHI TECHNOLOGIES BERHAD,UCHITEC,7100,True,"Industrial Materials, Components & Equipment"
TOMYPAK HOLDINGS BERHAD,TOMYPAK,7285,False,Packaging Materials
TIME DOTCOM BERHAD,TIMECOM,5031,True,Telecommunications Service Providers
PARAGON UNION BERHAD,PARAGON,9407,True,Houshold Goods
MARINE & GENERAL BERHAD,M&G,5078,True,Transportation & Logistics Services
BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,BAT,4162,False,Personal Goods
BINASTRA CORPORATION BERHAD,BNASTRA,7195,True,"Industrial Materials, Components & Equipment"
BERMAZ AUTO BERHAD,BAUTO,5248,True,Automotive
WELLCALL HOLDINGS BHD,WELLCAL,7231,True,"Industrial Materials, Components & Equipment"
ZELAN BHD,ZELAN,2283,True,Construction
APEX HEALTHCARE BERHAD,AHEALTH,7090,True,Pharmaceuticals
E.A.TECHNIQUE (M) BERHAD,EATECH,5259,True,Transportation & Logistics Services
AHMAD ZAKI RESOURCES BHD,AZRB,7078,True,Construction
TPC PLUS BHD,TPC,7176,True,Agricultural Products
AMWAY (M) HOLDINGS BHD,AMWAY,6351,True,Retailers
HUME CEMENT INDUSTRIES BERHAD,HUMEIND,5000,False,Building Materials
MR D.I.Y. GROUP (M) BERHAD,MRDIY,5296,True,Retailers
TEO SENG CAPITAL BHD,TEOSENG,7252,False,Agricultural Products
BURSA MALAYSIA BERHAD,BURSA,1818,True,Other Financials
CYBERJAYA EDUCATION GROUP BERHAD,CYBERE,5166,True,Consumer Services
KELINGTON GROUP BERHAD,KGB,0151,True,Industrial Engineering
HUP SENG INDUSTRIES BHD,HUPSENG,5024,True,Food & Beverages
GAS MALAYSIA BERHAD,GASMSIA,5209,True,"Gas, Water & Multi-Utilities"
GOLDEN PHAROS BHD,GPHAROS,5649,True,Wood & Wood Products
FOCUS POINT HOLDINGS BERHAD,FOCUSP,0157,True,Personal Goods
SCICOM (MSC) BHD,SCICOM,0099,False,Industrial Services
SDS GROUP BERHAD,SDS,0212,True,Food & Beverages
UNITED PLANTATIONS BERHAD,UTDPLT,2089,True,Plantation
DXN HOLDINGS BHD.,DXN,5318,True,Retailers
WESTPORTS HOLDINGS BERHAD,WPRTS,5246,True,Transportation & Logistics Services
