stock_name,stock_code,is_shariah,category
BARAKAH,7251,True,"Energy, Infrastructure, Equipment &Services"
TECHNAX,2739,True,Other Energy Resources
PGB,0091,True,"Energy, Infrastructure, Equipment &Services"
SCGM,7247,True,Packaging Materials
CARLSBG,2836,False,Food &Beverages
HEIM,3255,False,Food &Beverages
NESTLE,4707,True,Food &Beverages
EATECH,5259,True,Transportation &Logistics Services
POLYDM,03031,True,"Industrial Materials, Components &Equipment"
RPLANET,03036,False,Digital Services
TIMECOM,5031,True,Telecommunications Service Providers
M &G,5078,True,Transportation &Logistics Services
BAT,4162,False,Personal Goods
SCOMIES,7045,True,"Energy, Infrastructure, Equipment &Services"
UCHITEC,7100,True,"Industrial Materials, Components &Equipment"
SKHAWK,03049,True,"Energy, Infrastructure, Equipment &Services"
ENEST,03025,True,Consumer Services
ICON,5255,True,"Energy, Infrastructure, Equipment &Services"
CRG,03016,True,Personal Goods
SAPRES,4596,True,Property
CETECH,03024,True,Industrial Services
MMIS,03027,True,"Industrial Materials, Components &Equipment"
AXIATA,6888,True,Telecommunications Service Providers
MHCARE,03005,True,Health Care Providers
TOMYPAK,7285,False,Packaging Materials
COMCORP,7195,True,"Industrial Materials, Components &Equipment"
BAUTO,5248,True,Automotive
TOPVISN,03013,True,Health Care Providers
OMESTI,9008,True,Digital Services
SEM,5250,False,Retailers
INFOM,0265,True,Technology Equipment
LSH,03047,True,Construction
GASMSIA,5209,True,"Gas, Water &Multi-Utilities"
FOCUSP,0157,True,Personal Goods
SEERS,03009,True,Houshold Goods
SMRT,0117,True,Digital Services
AMWAY,6351,True,Retailers
MRDIY,5296,True,Retailers
SLIC,03008,True,Digital Services
WELLCAL,7231,True,"Industrial Materials, Components &Equipment"
INFOTEC,0253,False,Digital Services
ELSOFT,0090,True,Technology Equipment
COASTAL,5071,False,"Energy, Infrastructure, Equipment &Services"
FSBM,9377,True,Technology Equipment
SCICOM,0099,False,Industrial Services
BURSA,1818,True,Other Financials
1TECH,03041,False,Software
AURORA,03037,True,Personal Goods
NPS,03006,True,Pharmaceuticals
MBL,5152,True,"Industrial Materials, Components &Equipment"
CIHLDG,2828,True,Food &Beverages
ALCOM,2674,False,Metals
KOTRA,0002,True,Pharmaceuticals
HARBOUR,2062,True,Transportation &Logistics Services
OPTIMAX,0222,True,Health Care Providers
KGB,0151,True,Industrial Engineering
IDBTECH,03030,False,Software
SMISCOR,7132,True,Auto Parts
SJC,9431,True,Media
TRIVE,0118,True,Technology Equipment
PADINI,7052,True,Retailers
HUPSENG,5024,True,Food &Beverages
ECA,0267,True,Technology Equipment
SDS,0212,True,Food &Beverages
ICTZONE,03038,True,Technology Equipment
UTDPLT,2089,True,Plantation
PTRB,0260,True,Food &Beverages
WPRTS,5246,True,Transportation &Logistics Services
REDTONE,0032,True,Telecommunications Service Providers
ASTRA,03032,False,Food &Beverages
TAKAFUL,6139,True,Insurance
MYEG,0138,True,Digital Services
INNO,6262,True,Plantation
REXIT,0106,False,Software
SPTOTO,1562,False,"Travel, Leisure &Hospitality"
GREATEC,0208,True,Technology Equipment
BABA,03012,True,Houshold Goods
FRONTKN,0128,True,Semiconductors
DSONIC,5216,True,Digital Services
HIBISCS,5199,True,Oil &Gas Producers
SNS,0259,True,Technology Equipment
DYNAFNT,03046,False,Software
MAXIS,6012,True,Telecommunications Service Providers
UWC,5292,True,Semiconductors
TSH,9059,True,Plantation
SFPTECH,0251,True,Semiconductors
L &PBHD,0268,True,Industrial Services
SUPREME,03018,True,Consumer Services
FBBHD,03026,True,Industrial Services
FPI,9172,True,Houshold Goods
SEG,9792,True,Consumer Services
BJFOOD,5196,True,"Travel, Leisure &Hospitality"
PMETAL,8869,True,Metals
VITROX,0097,True,Semiconductors
LEESK,8079,True,Houshold Goods
AGMO,0258,True,Software
RCECAP,9296,True,Other Financials
MAYBULK,5077,False,Transportation &Logistics Services
SYGROUP,5173,True,Transportation &Logistics Services
PWROOT,7237,True,Food &Beverages
GENETEC,0104,True,Technology Equipment
CAB,7174,True,Agricultural Products
KMLOONG,5027,True,Plantation
CCK,7035,True,Food &Beverages
GAMUDA,5398,True,Construction
PETDAG,5681,True,Retailers
INGENIEU,5178,True,Metals
EDEN,7471,True,Electricity
PECCA,5271,True,Auto Parts
VLB,0273,True,Construction
SUNCON,5263,True,Construction
FGV,5222,True,Plantation
SKPRES,7155,True,"Industrial Materials, Components &Equipment"
CNERGEN,0246,True,Technology Equipment
TOMEI,7230,True,Retailers
HARISON,5008,False,Food &Beverages
NATGATE,0270,True,"Industrial Materials, Components &Equipment"
LAGENDA,7179,True,Property
SEB,5163,True,Industrial Engineering
TAS,5149,False,Transportation Equipment
GREENYB,0136,True,Agricultural Products
CORAZA,0240,True,Industrial Engineering
ASTRO,6399,False,Media
MASTER,7029,True,Packaging Materials
SUNMOW,03050,True,Construction
PRKCORP,8346,True,Transportation &Logistics Services
F &N,3689,True,Food &Beverages
QES,0196,True,"Industrial Materials, Components &Equipment"
TGL,9369,False,Personal Goods
VSTECS,5162,True,Technology Equipment
BONIA,9288,True,Personal Goods
CENGILD,0243,True,Health Care Providers
BVLH,03042,True,Construction
SENFONG,5308,True,Industrial Services
MOBILIA,0229,True,Houshold Goods
GPHAROS,5649,True,Wood &Wood Products
EFRAME,0227,True,Building Materials
AJIYA,7609,True,Building Materials
ANCOMNY,4758,True,Chemicals
ESCERAM,0100,True,"Industrial Materials, Components &Equipment"
AEONCR,5139,False,Other Financials
MTAG,0213,True,Industrial Services
IOICORP,1961,True,Plantation
INNATURE,5295,True,Personal Goods
TM,4863,True,Telecommunications Service Providers
TPC,7176,True,Agricultural Products
KYM,8362,True,Packaging Materials
ARMADA,5210,False,"Energy, Infrastructure, Equipment &Services"
